episode,global_step,density,reward_per_sec_selected,reward_per_decision,mean_reward,val_reward_per_sec,val_reward_per_decision,val_density,val_n_intervals_closed,val_is_best,best_reward_so_far,mean_loss,median_loss,n_losses_this_episode,grad_updates_total,grad_updates_this_episode,swap_count,mean_delta,mean_delta_actual,n_decisions,n_intervals_closed,run_status,abort_reason,mean_aoi,peak_aoi,mean_peak_aoi,packet_loss_rate,mean_error,max_error,low_speed_error,high_speed_error,avg_tx_power_dbm,total_energy_joules,jains_fairness_aoi,jains_fairness_err,tx_attempts,tx_fails,tx_abandoned,coverage_outage_rate,outage_vehicle_steps,total_vehicle_steps,mean_update_error,n_updates_delivered,dynamics_fallbacks,n_observations,n_vehicles_seen,mean_cbr,max_cbr,wiring_updates
12,24000,25.0,-0.158443,-0.985123,-0.158443,,,,0,False,-0.053763,1.0899,0.017652880400419235,671,13587,671,679,7.217,6.2175,4414,4409,ok,,11.4536,45.3,5.4715,0.1957,23.894,443.0616,27.0869,20.8975,10.6042,0.027549,0.7132,0.407,5044,987,12,0.255483,1353951,5299567,9.2262,4057,0,278019,345,0.002826,0.02352,671
13,26000,30.0,-0.091674,-0.312057,-0.091674,,,,0,False,-0.053763,0.7669,0.3903612494468689,1069,14656,1069,732,3.8389,3.404,7577,7565,ok,,3.6684,31.2,3.2676,0.2166,2.4237,140.7278,0.8628,3.6117,10.7454,0.051862,0.7848,0.3951,9192,1991,20,0.272626,1621556,5947921,2.2798,7201,0,264531,355,0.005148,0.02464,1069
14,28000,35.0,-0.074895,-0.235412,-0.074895,,,,0,False,-0.053763,0.0225,0.027660666964948177,1370,16026,1370,801,3.3851,3.1432,9831,9825,ok,,2.6495,45.7,3.1063,0.2387,0.8124,146.0558,0.588,1.0051,10.7305,0.072779,0.7631,0.1542,12321,2941,52,0.294441,1849592,6281708,1.3797,9380,0,318028,399,0.0069,0.02016,1370
15,30000,5.0,-0.056641,-0.175561,-0.056641,,,,0,False,-0.053763,0.0299,0.012349225580692291,250,16276,250,813,3.5829,3.0995,1487,1485,ok,,3.17,23.4,3.0168,0.1436,0.8716,44.5922,0.3636,1.0224,10.8764,0.010524,0.8105,0.4226,1630,234,1,0.284242,302380,1063813,1.5196,1396,0,47357,90,0.000913,0.00672,250
16,32000,10.0,-0.057298,-0.189871,-0.057298,,,,0,False,-0.053763,0.0219,0.012499270029366016,353,16629,353,831,3.7498,3.3137,2207,2204,ok,,3.2891,28.4,3.138,0.126,1.1263,66.9165,0.5761,1.2788,10.9771,0.015521,0.7821,0.3632,2342,295,1,0.278305,582507,2093055,1.9237,2047,0,74978,159,0.001313,0.00672,353
17,34000,15.0,-0.057616,-0.205807,-0.057616,,,,0,False,-0.053763,0.0201,0.015890643000602722,705,17334,705,866,3.9282,3.5721,4911,4909,ok,,3.0685,26.2,3.4641,0.156,1.0423,69.4868,0.6192,1.2562,10.7443,0.032065,0.8597,0.509,5482,855,9,0.263022,900522,3423755,1.9355,4627,0,179804,275,0.00307,0.01344,705
18,36000,20.0,-0.06121,-0.21805,-0.06121,,,,0,False,-0.053763,0.0428,0.01945604756474495,835,18169,835,908,4.0191,3.5623,5791,5790,ok,,3.2579,28.0,3.4711,0.1822,1.0615,76.0686,0.3215,1.5087,10.7337,0.038954,0.8071,0.3555,6670,1215,15,0.255008,1136791,4457857,1.7305,5455,0,211534,321,0.003735,0.01344,835
19,38000,25.0,-0.059726,-0.242156,-0.059726,,,,0,False,-0.053763,0.081,0.02624175325036049,981,19150,981,957,4.6211,4.0545,6816,6812,ok,,3.6186,33.6,3.9244,0.2182,1.4346,101.0438,0.6094,2.011,10.6185,0.047309,0.8122,0.3687,8190,1787,27,0.252069,1334221,5293087,2.4212,6403,0,282407,385,0.004589,0.0168,981
20,40000,30.0,-0.054339,-0.228501,-0.054339,-0.054297,-0.225877,20.0,4946,False,-0.053763,0.0309,0.02265007421374321,1013,20163,1013,1008,4.6913,4.2051,7106,7105,ok,,3.2926,37.7,4.1388,0.2616,1.1333,81.3975,0.5146,1.7323,10.5655,0.05157,0.8746,0.4026,9058,2370,60,0.280936,1703855,6064931,2.1486,6688,0,305317,358,0.005073,0.01568,1013
21,42000,35.0,-0.047226,-0.229108,-0.047226,,,,0,False,-0.053763,0.066,0.020917512476444244,890,21053,890,1052,5.3653,4.8513,6034,6028,ok,,3.5018,26.5,4.7978,0.2171,1.3195,81.1384,0.6448,1.8841,10.7171,0.043426,0.852,0.5404,7205,1564,20,0.301188,1910342,6342681,3.0307,5641,0,297898,373,0.004036,0.01456,890
22,44000,5.0,-0.045009,-0.164206,-0.045009,,,,0,False,-0.053763,0.0309,0.021267414093017578,233,21286,233,1064,4.3234,3.6483,1358,1357,ok,,3.6358,25.5,3.3168,0.112,0.7094,51.9958,0.2461,0.8375,10.6062,0.008275,0.8241,0.4818,1429,160,0,0.285561,293064,1026275,1.5062,1269,0,50711,89,0.000801,0.0056,233
23,46000,10.0,-0.051971,-0.185524,-0.051971,,,,0,False,-0.053763,0.0515,0.023223163560032845,395,21681,395,1084,4.3809,3.5697,2432,2431,ok,,3.5394,23.5,3.2486,0.1295,1.0337,82.3854,0.2532,1.2178,10.8258,0.01578,0.8493,0.3455,2595,336,0,0.271453,602269,2218687,1.6768,2259,0,88905,173,0.001453,0.00784,395
24,48000,15.0,-0.046282,-0.215569,-0.046282,,,,0,False,-0.053763,0.0325,0.02356930635869503,463,22144,463,1107,5.6764,4.6577,3021,3020,ok,,3.7995,26.9,4.4096,0.1636,1.4328,94.9425,0.538,1.8079,10.7226,0.019759,0.8589,0.3872,3325,544,4,0.264889,825893,3117880,2.8101,2781,0,143284,236,0.001862,0.00784,463
25,50000,20.0,-0.047788,-0.206935,-0.047788,,,,0,False,-0.053763,0.0957,0.021454917266964912,716,22860,716,1143,5.0141,4.3302,4945,4944,ok,,3.3801,40.3,4.205,0.1826,1.0301,48.5479,0.5039,1.345,10.6853,0.031376,0.8116,0.4004,5640,1030,20,0.251372,1072998,4268574,2.2558,4610,0,218517,315,0.003159,0.01344,716
26,52000,25.0,-0.047355,-0.250286,-0.047355,,,,0,False,-0.053763,0.0711,0.023875854909420013,797,23657,797,1182,6.0011,5.2854,5343,5341,ok,,3.5887,40.8,5.2745,0.1925,1.599,84.529,0.6663,2.4067,10.758,0.037533,0.9065,0.5819,6109,1176,18,0.252875,1376370,5442882,3.7732,4933,0,287026,392,0.003421,0.01344,797
27,54000,30.0,-0.0496,-0.213919,-0.0496,,,,0,False,-0.053763,0.0637,0.030813166871666908,834,24491,834,1224,4.7625,4.3129,5804,5799,ok,,3.1734,35.7,4.2879,0.2369,1.1378,96.324,0.4969,1.662,10.4508,0.035842,0.8386,0.2958,7134,1690,25,0.285548,1748377,6122888,2.4701,5444,0,255376,335,0.003996,0.01456,834
28,56000,35.0,-0.048345,-0.228881,-0.048345,,,,0,False,-0.053763,0.0452,0.02147005870938301,915,25406,915,1270,5.2131,4.7343,6222,6220,ok,,3.342,29.7,4.7564,0.2518,1.3056,89.1665,0.6656,1.8152,10.5647,0.04054,0.8898,0.4942,7719,1944,39,0.302772,1907024,6298544,2.9614,5775,0,300071,408,0.004324,0.01344,915
29,58000,5.0,-0.033034,-0.176338,-0.033034,,,,0,False,-0.053763,0.0332,0.01685912162065506,129,25535,129,1276,6.6433,5.3381,670,670,ok,,3.8774,20.3,5.2828,0.1096,0.9014,70.9702,0.4619,0.9775,10.9024,0.004034,0.8658,0.462,666,73,1,0.287625,283568,985895,2.5857,593,0,36302,76,0.000374,0.00448,129
30,60000,10.0,-0.039241,-0.207579,-0.039241,-0.040032,-0.245476,20.0,3381,True,-0.040032,0.0492,0.017931092530488968,343,25878,343,1293,6.2934,5.2898,2064,2064,ok,,4.1693,29.8,5.0787,0.1303,1.2988,68.5469,0.8026,1.4404,10.5902,0.0114,0.8835,0.4894,2157,281,1,0.276162,624942,2262953,3.0589,1876,0,110932,187,0.001208,0.00672,343
31,62000,15.0,-0.042775,-0.217029,-0.042775,,,,0,False,-0.040032,0.0305,0.02014713641256094,436,26314,436,1315,6.2914,5.0738,2752,2751,ok,,3.8917,24.6,4.9054,0.1409,1.4259,114.8955,1.1794,1.5164,10.7543,0.016347,0.8423,0.3314,2888,407,4,0.263689,876826,3325229,3.327,2481,0,141891,267,0.001617,0.00896,436
32,64000,20.0,-0.043097,-0.21208,-0.043097,,,,0,False,-0.040032,0.0368,0.024104468524456024,673,26987,673,1349,5.6182,4.9209,4540,4535,ok,,3.6053,25.1,4.8086,0.1703,1.2541,49.0467,0.6502,1.5835,10.7844,0.029679,0.9297,0.6449,5068,863,4,0.251138,1051537,4187083,3.1941,4205,0,227169,331,0.002839,0.01008,673
33,66000,25.0,-0.046277,-0.228432,-0.046277,,,,0,False,-0.040032,0.0466,0.028536252677440643,785,27772,785,1388,5.5872,4.9362,5238,5238,ok,,3.7874,29.5,4.7753,0.2088,1.4179,183.0394,0.6668,1.9824,10.6852,0.035341,0.8786,0.2915,6196,1294,14,0.257406,1364732,5301859,2.8739,4902,0,263285,322,0.00347,0.01344,785
34,68000,30.0,-0.045297,-0.238446,-0.045297,,,,0,False,-0.040032,0.1013,0.025879889726638794,869,28641,869,1432,6.0023,5.2641,5777,5776,ok,,3.6355,41.2,5.1451,0.2426,1.4557,89.8178,0.8376,2.026,10.5291,0.036191,0.8519,0.524,7061,1713,37,0.271168,1622825,5984579,3.3938,5348,0,309229,392,0.003954,0.01344,869
35,70000,35.0,-0.043266,-0.210935,-0.043266,,,,0,False,-0.040032,0.0625,0.026276140473783016,848,29489,848,1474,5.574,4.8753,5815,5811,ok,,3.4097,26.0,4.7455,0.2321,1.122,47.873,0.578,1.5958,10.4935,0.035898,0.871,0.6021,7071,1641,20,0.299458,1904299,6359143,2.8004,5430,0,288545,365,0.00396,0.01232,848
36,72000,5.0,-0.041241,-0.170274,-0.041241,,,,0,False,-0.040032,0.0264,0.0192131195217371,239,29728,239,1486,5.4596,4.1288,1479,1478,ok,,3.4911,25.0,3.8084,0.1291,0.9151,76.4221,0.3126,1.0583,10.4745,0.007878,0.8715,0.5484,1557,201,1,0.280066,325462,1162090,2.4258,1356,0,62295,122,0.000872,0.00672,239
37,74000,10.0,-0.039144,-0.181652,-0.039144,,,,0,False,-0.040032,0.0264,0.015277875121682882,326,30054,326,1502,5.5803,4.6407,2032,2031,ok,,3.3871,22.1,4.4062,0.1321,1.0948,54.7834,0.6024,1.2591,10.4723,0.01077,0.8779,0.6343,2135,282,2,0.275735,593604,2152807,3.049,1853,0,95975,177,0.001196,0.00672,326
38,76000,15.0,-0.041119,-0.204126,-0.041119,,,,0,False,-0.040032,0.0278,0.01658809930086136,436,30490,436,1524,6.1539,4.9643,2906,2904,ok,,3.6744,27.0,4.6694,0.1576,1.3673,74.8737,0.646,1.6929,10.5346,0.016195,0.8781,0.5727,3153,497,2,0.262457,848208,3231799,3.4837,2656,0,146656,247,0.001766,0.00784,436
39,78000,20.0,-0.038156,-0.217929,-0.038156,,,,0,False,-0.040032,0.0356,0.02027246169745922,583,31073,583,1553,6.6537,5.7115,4041,4037,ok,,3.6937,23.8,5.5983,0.1904,1.3485,77.9616,0.8948,1.6481,10.5624,0.023618,0.9157,0.6173,4565,869,7,0.255131,1096396,4297387,3.8326,3696,0,234086,337,0.002558,0.01008,583
40,80000,25.0,-0.04201,-0.22914,-0.04201,-0.042579,-0.19726,20.0,4452,False,-0.040032,0.0756,0.02462818566709757,770,31843,770,1592,6.4201,5.4544,5378,5373,ok,,3.7692,25.7,5.2585,0.2012,1.4135,90.471,0.6574,2.0273,10.5316,0.031887,0.8943,0.5797,6198,1247,20,0.256136,1378108,5380384,3.8622,4951,0,297801,407,0.003471,0.0112,770
41,82000,30.0,-0.04299,-0.235272,-0.04299,,,,0,False,-0.040032,0.0838,0.02296402771025896,762,32605,762,1630,6.3972,5.4727,5047,5046,ok,,3.9527,84.1,5.3085,0.25,1.4901,95.3184,0.9624,1.9957,10.5474,0.032246,0.8477,0.4672,6233,1558,28,0.281755,1719133,6101522,3.4153,4675,0,280653,344,0.003491,0.0112,762
42,84000,35.0,-0.042599,-0.226509,-0.042599,,,,0,False,-0.040032,0.0453,0.024737617932260036,764,33369,764,1668,6.3049,5.3173,5215,5209,ok,,3.6815,30.1,5.1947,0.2446,1.3602,86.8812,0.6688,1.9749,10.486,0.032332,0.9065,0.6236,6381,1561,27,0.295662,1870822,6327567,3.5097,4820,0,281622,367,0.003573,0.01344,764
43,86000,5.0,-0.037775,-0.193912,-0.037775,,,,0,False,-0.040032,0.0812,0.02680822554975748,170,33539,170,1676,7.1675,5.1333,988,987,ok,,4.1276,26.4,4.628,0.1675,1.1646,71.09,0.7367,1.2652,10.7197,0.005896,0.8893,0.5023,1063,178,3,0.290051,328266,1131751,2.9717,885,0,51474,100,0.000595,0.00448,170
44,88000,10.0,-0.037136,-0.216965,-0.037136,,,,0,False,-0.040032,0.0698,0.025486759841442108,285,33824,285,1691,7.6463,5.8425,1703,1703,ok,,5.0645,33.5,5.1206,0.1205,1.4559,117.6038,0.8719,1.5878,10.7047,0.009514,0.884,0.4978,1735,209,1,0.276372,597429,2161682,3.7026,1526,0,100892,176,0.000972,0.0056,285
45,90000,15.0,-0.040762,-0.248572,-0.040762,,,,0,False,-0.040032,0.0845,0.030244702473282814,382,34206,382,1710,7.7175,6.0981,2495,2492,ok,,4.8938,30.7,5.5183,0.1105,1.7938,83.0021,1.0483,1.9829,10.7369,0.013757,0.8596,0.6001,2498,276,2,0.263399,871929,3310294,4.6237,2222,0,154006,270,0.001399,0.00672,382
46,92000,20.0,-0.040944,-0.222746,-0.040944,,,,0,False,-0.040032,0.0735,0.03686627373099327,644,34850,644,1742,6.5834,5.4402,4365,4363,ok,,4.2122,28.1,5.1219,0.1726,1.3909,83.0026,0.8796,1.6965,10.4768,0.024488,0.8721,0.5749,4837,835,9,0.254302,1132966,4455202,3.5185,4002,0,241166,354,0.002709,0.01008,644
47,94000,25.0,-0.040915,-0.221902,-0.040915,,,,0,False,-0.040032,0.0891,0.034227967262268066,702,35552,702,1777,6.4503,5.4235,4815,4810,ok,,4.2194,27.4,5.1227,0.2308,1.2808,65.2051,0.801,1.6336,10.4434,0.028975,0.8475,0.572,5763,1330,19,0.25763,1394378,5412336,3.1783,4433,0,265119,363,0.003227,0.01232,702
48,96000,30.0,-0.040031,-0.242699,-0.040031,,,,0,False,-0.040032,0.1013,0.03135324455797672,778,36330,778,1816,6.8388,6.0627,5399,5398,ok,,4.3583,35.2,5.8888,0.235,1.4377,93.5655,0.8085,2.0457,10.4664,0.032761,0.8652,0.439,6497,1527,25,0.279984,1728129,6172246,3.747,4970,0,332052,404,0.003639,0.01344,778
49,98000,35.0,-0.041305,-0.233764,-0.041305,,,,0,False,-0.040032,0.0639,0.024612274020910263,783,37113,783,1855,6.5581,5.6594,5369,5366,ok,,4.1563,36.4,5.4911,0.2365,1.4768,119.5756,0.9389,1.9289,10.5056,0.032904,0.9029,0.5146,6464,1529,17,0.298598,1900142,6363556,3.7131,4935,0,308421,416,0.00362,0.01232,783
50,100000,5.0,-0.043029,-0.225066,-0.043029,-0.039475,-0.234443,20.0,3489,True,-0.039475,0.08,0.025857001543045044,164,37277,164,1863,6.9931,5.2306,895,893,ok,,4.4238,31.3,4.6135,0.1491,1.6376,72.3429,0.47,1.8794,10.4791,0.00472,0.8468,0.4254,932,139,2,0.280775,312141,1111713,3.4072,793,0,47437,99,0.000522,0.00448,164
51,102000,10.0,-0.042606,-0.282656,-0.042606,,,,0,False,-0.039475,0.0702,0.028348905965685844,284,37561,284,1878,8.5366,6.6341,1716,1715,ok,,5.5515,33.8,5.6893,0.1098,2.135,94.03,0.8517,2.5555,10.5287,0.008868,0.8678,0.3212,1721,189,0,0.272367,592431,2175124,4.9571,1532,0,115165,183,0.000964,0.0056,284
52,104000,15.0,-0.035021,-0.205165,-0.035021,,,,0,False,-0.039475,0.0794,0.04110965132713318,395,37956,395,1897,7.5429,5.8583,2408,2408,ok,,4.9853,31.4,5.2569,0.132,1.1926,69.2976,0.6864,1.3658,10.5134,0.012787,0.8318,0.4347,2500,330,3,0.266032,868214,3263564,3.264,2170,0,143070,235,0.0014,0.00672,395
53,106000,20.0,-0.036927,-0.224034,-0.036927,,,,0,False,-0.039475,0.09,0.03575843758881092,556,38512,556,1925,7.4118,6.0669,3534,3533,ok,,4.57,58.4,5.6283,0.1725,1.3638,80.7466,0.937,1.6316,10.639,0.020456,0.8092,0.3662,3866,667,9,0.258067,1113443,4314545,3.9381,3199,0,217361,326,0.002165,0.01008,556
54,108000,25.0,-0.038545,-0.243885,-0.038545,,,,0,False,-0.039475,0.0911,0.034999966621398926,687,39199,687,1959,7.4141,6.3273,4366,4366,ok,,4.618,27.3,6.0609,0.2258,1.5778,85.7991,1.1327,1.985,10.5666,0.026736,0.9117,0.4861,5163,1166,19,0.250857,1345936,5365347,4.1865,3997,0,280068,350,0.002891,0.01008,687
55,110000,30.0,-0.037036,-0.206878,-0.037036,,,,0,False,-0.039475,0.0329,0.027542161755263805,836,40035,836,2001,6.5192,5.5859,5382,5381,ok,,4.0209,30.3,5.4246,0.242,1.0771,46.0201,0.6902,1.4236,10.5494,0.034085,0.8628,0.6443,6596,1596,19,0.288472,1783051,6181012,3.0318,5000,0,305398,362,0.003694,0.01232,836
56,112000,35.0,-0.039086,-0.252335,-0.039086,,,,0,False,-0.039475,0.0634,0.02645647805184126,756,40791,756,2039,7.5289,6.4559,4687,4685,ok,,4.5524,31.2,6.2682,0.2371,1.7216,127.3836,0.7303,2.5183,10.5571,0.029057,0.8473,0.6257,5619,1332,21,0.29888,1902988,6367062,4.8153,4287,0,306555,379,0.003147,0.0112,756
57,114000,5.0,-0.030874,-0.161276,-0.030874,,,,0,False,-0.039475,0.0446,0.028052520006895065,152,40943,152,2047,6.7258,5.2236,811,809,ok,,3.6769,24.9,5.1667,0.0831,0.9105,65.0537,0.6622,0.9743,10.597,0.004125,0.9199,0.6151,782,65,0,0.28639,333192,1163421,3.369,717,0,42902,94,0.000438,0.00336,152
58,116000,10.0,-0.036026,-0.233627,-0.036026,,,,0,False,-0.039475,0.0773,0.027467822656035423,261,41204,261,2060,8.3846,6.4849,1465,1464,ok,,4.5052,29.6,6.2234,0.1123,1.5076,83.0446,1.1612,1.5775,10.7426,0.00825,0.8961,0.4507,1452,163,0,0.272587,584044,2142594,4.0499,1289,0,96110,176,0.000814,0.0056,261
59,118000,15.0,-0.036908,-0.210573,-0.036908,,,,0,False,-0.039475,0.0822,0.041886769235134125,465,41669,465,2083,6.5539,5.7054,2901,2897,ok,,4.0257,27.6,5.7393,0.1955,1.3175,84.1988,1.1097,1.4221,10.5376,0.016819,0.9251,0.641,3268,639,8,0.265469,861037,3243454,3.9764,2629,0,167747,264,0.001831,0.00896,465
60,120000,20.0,-0.037221,-0.243999,-0.037221,-0.035425,-0.201289,20.0,3644,True,-0.035425,0.086,0.03435002639889717,601,42270,601,2113,7.9199,6.5554,4128,4125,ok,,4.5778,39.2,6.4385,0.1924,1.5135,82.6842,1.077,1.8277,10.5113,0.023667,0.9062,0.5971,4631,891,18,0.252591,1096863,4342451,4.5255,3740,0,273954,370,0.002593,0.01008,601
61,122000,25.0,-0.038527,-0.23514,-0.038527,,,,0,False,-0.035425,0.0443,0.03656655550003052,626,42896,626,2144,7.4902,6.1033,4267,4265,ok,,4.3751,62.2,6.125,0.2144,1.9698,222.0089,1.9012,2.019,10.4574,0.024845,0.8865,0.1593,4931,1057,19,0.258598,1366367,5283754,4.9708,3874,0,263981,374,0.002762,0.01232,626
62,124000,30.0,-0.040478,-0.243115,-0.040478,,,,0,False,-0.035425,0.0575,0.033143945038318634,733,43629,733,2181,6.9328,6.006,5227,5225,ok,,4.3167,26.7,5.9179,0.2253,1.4963,83.8449,0.8632,2.037,10.595,0.032861,0.9185,0.6983,6219,1401,12,0.275784,1674049,6070146,4.2479,4818,0,318419,397,0.003484,0.01344,733
63,126000,35.0,-0.039426,-0.247785,-0.039426,,,,0,False,-0.035425,0.0642,0.032446347177028656,699,44328,699,2216,7.3366,6.2848,4808,4804,ok,,4.8951,35.6,6.1893,0.2157,1.5776,62.583,1.3498,1.7905,10.5477,0.029246,0.9365,0.6955,5637,1216,14,0.293807,1841839,6268872,4.1652,4421,0,306139,373,0.003157,0.0112,699
64,128000,5.0,-0.030511,-0.167511,-0.030511,,,,0,False,-0.035425,0.046,0.035093747079372406,162,44490,162,2224,7.2504,5.4902,923,922,ok,,4.202,26.7,5.3163,0.1005,0.8641,57.0416,0.5191,0.9699,10.6145,0.004926,0.9119,0.5962,915,92,0,0.280478,302844,1079742,2.799,823,0,51372,100,0.000512,0.00448,162
65,130000,10.0,-0.029227,-0.173469,-0.029227,,,,0,False,-0.035425,0.0439,0.02829556167125702,256,44746,256,2237,7.5296,5.9353,1490,1488,ok,,4.4984,22.9,5.5418,0.1181,0.8535,73.7176,0.4848,0.9423,10.5562,0.007907,0.8855,0.5037,1507,178,3,0.275911,582624,2111634,2.7673,1329,0,89533,158,0.000844,0.0056,256
66,132000,15.0,-0.034762,-0.193169,-0.034762,,,,0,False,-0.035425,0.0479,0.02951862756162882,380,45126,380,2256,7.1843,5.5569,2504,2503,ok,,4.297,29.3,5.2269,0.0978,1.2601,62.8794,0.631,1.4645,10.5412,0.012785,0.9123,0.5765,2475,242,1,0.261706,841931,3217083,3.9117,2233,0,141145,270,0.001386,0.00672,380
67,134000,20.0,-0.036471,-0.222371,-0.036471,,,,0,False,-0.035425,0.0608,0.02990630269050598,478,45604,478,2280,7.2807,6.0972,3185,3184,ok,,4.4143,27.3,5.8078,0.1674,1.3965,82.7606,0.6133,1.8503,10.6264,0.019074,0.923,0.3185,3458,579,5,0.261209,1112888,4260534,4.0049,2879,0,196833,301,0.001938,0.00896,478
68,136000,25.0,-0.038023,-0.247867,-0.038023,,,,0,False,-0.035425,0.0752,0.031976524740457535,727,46331,727,2316,7.5408,6.5188,4797,4796,ok,,4.7328,33.2,6.442,0.1941,1.6084,81.2177,0.862,2.3466,10.5003,0.027704,0.9152,0.6871,5451,1058,7,0.247422,1326758,5362318,4.896,4393,0,316826,397,0.003054,0.01232,727
69,138000,30.0,-0.034642,-0.228847,-0.034642,,,,0,False,-0.035425,0.1092,0.0330500453710556,719,47050,719,2352,7.8564,6.6061,4697,4694,ok,,5.0541,32.8,6.6147,0.2096,1.4149,85.71,0.9508,1.9076,10.4373,0.027183,0.9032,0.6662,5439,1140,10,0.284145,1739955,6123469,4.3357,4299,0,314173,388,0.003047,0.01232,719
70,140000,35.0,-0.040437,-0.249916,-0.040437,-0.034552,-0.186483,20.0,3833,True,-0.034552,0.1209,0.031885579228401184,743,47793,743,2389,7.1772,6.1803,4931,4926,ok,,4.6513,36.9,6.1028,0.2579,1.6642,144.4922,0.6789,2.4791,10.4553,0.030599,0.9055,0.5975,6096,1572,25,0.300771,1922195,6390895,4.1488,4524,0,308776,382,0.003415,0.0112,743
