Episode,DQN_Reward,PPO_Reward,SAC_Reward
1,22.577534441482044,25.02988940224362,38.108326939593574
2,22.860316265471777,30.343096502417215,37.34098196111896
3,25.95421438946149,14.198206962659288,32.422081254015474
4,29.19675200188519,24.398952318912432,28.734242626847518
5,27.14469980767657,18.72199419212425,45.11927553193252
6,28.57809114872904,19.928730397295872,44.48692506717448
7,33.609766799110304,19.78959707820034,51.34668470722747
8,33.36336634100891,18.816891019415067,49.98507714619472
9,32.23943431522834,23.76280959307615,54.7551816637818
10,35.58665984093338,19.746895457887685,38.93687730676501
11,34.87166077737679,25.63347229262049,56.93482935692442
12,36.138311607535215,24.407646766014423,44.711108425849545
13,38.799797678846765,23.839862695475684,62.04426131149331
14,35.71074019422637,20.870676097316156,32.63448382520435
15,37.28470668043651,22.896664440874112,54.907018392119355
16,40.78350197562278,29.927648418197922,37.44993875187735
17,41.03271193832238,29.023603186005314,26.90201858846186
18,44.81438857950806,21.997728954308986,26.662715771378753
19,43.47503911196911,27.746826769687615,26.635480090719717
20,43.54978891447827,31.36994217398219,32.77143858837736
21,50.367551952638564,19.62701178749189,32.889260639613745
22,48.02553371237562,31.050070138177414,21.564141792162886
23,49.63236476882177,25.377589692724257,27.2549689203337
24,47.64783228308182,31.899358405593198,49.70106679845099
25,50.388781773938966,25.583952010519784,46.91776459104961
26,52.66020134180419,20.727955023032496,35.93155511667335
27,51.078152655236224,21.965014875541435,34.39138558203069
28,55.05467092878616,30.691765901402434,38.10571001624664
29,54.006853294930224,32.09682905974811,46.30117736983169
30,55.51168161289134,26.621778760473333,33.46571727254762
31,55.761031767967246,34.67974809519779,44.80397812420537
32,61.521162445573985,23.520896571358293,34.415205958847004
33,58.6248987911882,31.838104679730154,58.73654805049179
34,57.35521875284104,26.451733673477026,64.66305405766396
35,61.91826552089362,29.58425779945262,56.500481580777425
36,58.61813222326022,33.41537644368031,79.81068293326408
37,62.248613948326756,29.209590465410187,54.06725002121666
38,58.66734559144771,31.92049156338189,53.38819558494848
39,60.67114699778526,39.20469140159072,71.39519449156896
40,64.44740534236053,31.617080406145703,80.13390696485153
41,66.24240079951088,39.00667524741255,86.41358957367552
42,65.80589468805357,29.504726049096945,64.32521010511269
43,65.91573684980361,38.12570567539026,78.52058837611793
44,66.21515967429491,43.00633926629122,65.7204179858244
45,64.51738324001721,23.760479998613388,62.392462325155776
46,66.67878829644944,32.452835522380894,70.7135349505219
47,67.82849562939873,39.63969266560385,66.01661317108521
48,71.48281357442887,36.05454418446077,41.322753216695745
49,70.66234867102496,39.23936630750709,69.54139225516727
50,67.04356439555914,34.676011420708505,66.47726411357772
51,71.80057272494332,38.43962910047802,44.63841879238302
52,70.95346088246495,37.5374869587543,53.48042402163723
53,70.9296911729835,44.46243431023058,53.578308341581696
54,74.05571052608661,40.20174466955781,50.90452674258599
55,75.43231234914555,40.92224345237854,43.03357389704387
56,75.76017666838924,37.47791585292963,42.649783253972004
57,72.73604320825042,37.400828534086926,50.51808250475123
58,74.30268077768915,37.97612365461668,64.45104854537256
59,76.08022777471662,42.40973371461873,60.59481925848725
60,77.85555330126854,38.629619941361256,54.29543525497642
61,75.42323817038827,42.47900433315184,68.87526992633026
62,76.47794461154831,51.70124749528405,36.03695254596198
63,75.0950079320063,45.97251357563392,79.46642993279015
64,75.36460271558312,40.27795937326552,54.01128466137335
65,79.8225082020674,48.20388131945394,71.0686752322173
66,81.34165589987361,40.44572446033815,66.52333587747796
67,78.90832627041326,32.58233041590594,67.43974919472535
68,81.47420363949958,38.017942624404206,94.21234489332056
69,80.59698780531475,33.98841211744673,79.62461663861171
70,78.98200337546123,41.867385402296385,88.89379385901482
71,81.38566985925391,43.99821643926197,85.488283507349
72,84.1218524383622,52.56808047569393,90.65388812213683
73,81.34944594339939,46.0989047985825,85.994386273664
74,84.918272240923,43.6457509049673,71.19809080658922
75,76.91009697994613,49.16388560263967,92.3154773893845
76,84.14685405257326,34.23541071797211,75.34557340878331
77,83.0236060223181,46.742021894175814,62.351269668741665
78,82.59109960300708,49.68977600958166,71.08318615318613
79,83.70551369668033,38.71266563119138,87.74939017007598
80,79.87314073122579,52.09316653318349,78.67114308524131
81,83.7287602976358,48.334337168794114,64.27649794474159
82,85.19582175975215,44.831540419590446,62.141912603914555
83,87.74466968136139,50.336686874132795,60.66613892193927
84,84.0535414802999,58.789718703817435,83.35843737890967
85,83.76833086999486,48.60774846490469,65.64463008589048
86,84.67119407991146,49.20037535363635,65.9300805288125
87,87.7891721860444,45.922022136056015,72.32825695935827
88,86.89391311347532,44.227864466024734,65.3979740854574
89,85.44942781097828,52.885737000135734,61.96708823561026
90,87.80262380849979,44.7093287407138,64.65544907720994
91,87.23209502398562,49.601993750238705,68.4089516270441
92,89.23189589251213,47.10902112562034,71.61600057441223
93,86.14208338280551,52.14409071356069,82.38326203334945
94,87.13746724625375,51.66812906381868,78.88853577774861
95,87.25029415592488,55.43689520408789,88.98294755289463
96,85.34441313330774,47.947246661235,84.04302142881507
97,89.09592457191292,49.39484958239033,88.62073350688877
98,89.25343687067618,46.09606988633517,70.51969034037243
99,88.9646879284135,49.0128611159147,101.92044731126016
100,88.70400307432068,53.36404968821359,97.98698060455227
101,86.55682130948944,55.50449704906352,105.71726579626308
102,88.75641248419521,47.3495270741306,67.40227926021558
103,89.11825337536081,56.5479820310693,117.27456708996294
104,88.40102848567017,59.216545456409214,94.4287833449888
105,89.88091431642943,54.7427453667733,105.78124993354163
106,91.20557143271253,62.29558148852192,82.6711393298583
107,94.35998436067872,49.27751079289864,97.13984684990116
108,91.12314594261868,47.15686629352374,78.08304508816985
109,91.47177833020955,44.7190560882909,79.75312505066846
110,90.98685549948095,61.32423672700698,102.38768892782375
111,87.47372886340528,57.34604738605541,78.59901335477285
112,91.43029189876134,54.025351537542534,80.0592720454033
113,91.77242163950085,55.931031390995855,84.19916960385059
114,96.74374768772756,49.13051966754515,78.40762365571085
