Episode,DQL-DCC,PPO,SAC,TD3
1,-27.4199907844554,-148.17496462920332,-72.52312106793079,-61.51238229657035
2,-8.01827120802393,-127.33022458182091,-99.49166986121644,-52.63034894471936
3,5.927233737149485,-141.59582116881597,-50.14689947656773,-36.42318003075924
4,9.324611254212522,-121.60669276820212,-18.931601821784533,-45.09317120489726
5,25.56420509869401,-113.84573139430384,-47.982333097950715,-63.09896450778816
6,40.495831977587315,-107.27100353070539,-44.36374994320181,-78.68195964934779
7,43.52623276734782,-98.23224884953498,-32.2165545127956,-32.49084932281929
8,62.05742067645412,-116.4522634031637,-19.551690838400834,-38.19915975206749
9,68.16981044064508,-87.43016217954401,15.325156161077487,-3.922364723502376
10,79.15249832749207,-107.51624408086047,2.0371628345271673,1.4135687863823208
11,89.93862920096845,-94.01383047321957,-41.047629275058135,-36.785783012820666
12,87.65748356168122,-68.57830105906254,-12.640987932436698,-69.22139783329726
13,90.04461194527359,-89.2128559700689,8.971863364731131,-63.92176633339422
14,95.75548464543729,-84.57511708954064,-1.318959615035613,-11.32816010890257
15,108.37117256179394,-79.61519494898292,8.751829355028196,-33.085969460781186
16,112.62849821557145,-62.81739434201861,29.581582149496505,-6.79977659964501
17,117.99534718161027,-45.3692976910843,17.254384196633513,15.199761364564417
18,122.17035104963952,-52.528032165480504,-2.895401456617151,13.476625073413143
19,122.13423871035113,-42.95100841868648,77.43057001881985,-9.25239995782978
20,122.38512618857865,-47.17948389532483,73.69577415540441,17.828099521742544
21,126.01258854259726,-53.783176638620894,58.493661883190136,42.70639324383249
22,133.52291357024134,-36.8148597188453,34.75242512114704,17.542825390466117
23,127.17876476166114,-50.15564679834081,27.572077396908426,26.79531735996617
24,133.66684361138897,-32.32448401655893,84.99138388753346,62.69776654293351
25,136.9520525555333,-33.46640444411101,7.614142534058814,15.94280620512554
26,130.09102964671126,-35.429793648375636,87.54196543205373,21.853408681673233
27,139.02704037876157,-22.0237689907258,55.6503365310214,41.880282354412486
28,130.75880408367087,-29.986073259067254,28.894859258340304,47.0599486380832
29,144.09093167725092,-14.697000667321948,85.8665765251008,42.55385413597715
30,136.04422148185716,-17.911606048398294,51.44487142701937,18.76832930393683
31,142.5998092645316,-22.031494900075455,79.76005137006986,44.43702173478836
32,139.20534535174474,-18.43434733405515,95.64814386937417,49.96182651401352
33,146.1821936656203,-23.53282937655649,75.98924275333292,47.03008274475782
34,141.57097165648634,-13.789249374216695,100.48004382857073,29.80875575232522
35,135.50848680845792,-24.013024478710147,62.84767586810851,52.6140675128121
36,147.65593478333994,-15.956313682065286,66.33372660115616,36.54495608380055
37,137.60325834065787,1.3484002200073364,118.54684809494738,49.19507926660929
38,139.67135909018938,6.6198074817252275,90.15251028158956,66.58269683660708
39,141.19197730386566,10.67961507038136,104.9416267429906,73.77561047697974
40,144.05109036740677,12.786494983622825,104.2589110758404,50.57111743451021
41,146.81742858007567,4.072397310981433,96.64155407255676,55.88788266814487
42,140.1753967156401,-4.767538424715397,77.91906971315706,92.23947908405981
43,141.7568235023454,11.702029195313763,127.59389953886857,79.19471815768158
44,148.8706762039913,17.165240277420757,88.9043234390784,91.7417198926868
45,152.5745587597803,19.306942419219624,95.19315901778994,60.434495923095554
46,154.62184562501233,22.120892206799997,52.64002304815792,93.16714940452857
47,148.62146461379652,25.870389049954646,99.86580548890348,96.57036769530369
48,149.58280649278115,9.402099950488989,123.93758067226483,74.81909123765396
49,148.7313128101277,27.964003877204135,149.0613043037267,87.40031300362237
50,153.76600529107785,25.163621364763483,107.85468924840298,122.34725209392796
51,156.2852851725247,34.070748562849296,144.7434141823402,100.16041310689177
52,154.0760097130549,28.352918639630406,124.6139140448859,70.78508318349277
53,151.83637535774605,19.682529378131754,135.55921540754622,86.64613042061589
54,152.05826444479328,39.19820514055675,111.9367472529819,102.73740928676514
55,145.25066082111442,38.284992732942214,144.68460299521013,85.6026477742334
56,144.88484041582166,19.766210023363193,152.8379386668763,71.08028887773462
57,151.0777888850248,32.458492851798454,115.45095953355192,108.12215293867035
58,143.65846572990614,42.38670285370558,134.72407931077228,87.06263082839567
59,140.81362061397894,44.693369361650525,101.13139987872465,79.80287109262954
60,150.42762288108793,46.671032119697266,128.48948862020836,93.55769905134729
61,153.9385391847806,43.787095712564344,119.59203256654031,113.53666981922908
62,140.15910850204543,41.08732317180303,97.69848879690738,115.19432494324246
63,153.04877539765502,50.66667029833345,129.77034976631995,81.8076790715671
64,150.80579452412275,47.92407520738849,116.85029741522627,82.97523724163463
65,149.0473360189462,62.57096369555461,139.1280970471179,136.57901900705986
66,141.92522466534442,42.37665599924219,52.351978702428504,102.39608798761645
67,142.42963556799305,67.95939796307033,122.80566331595352,73.5852610876353
68,145.77080597743662,56.89067406540692,76.8735364527655,86.153311923113
69,152.34502449164154,53.18021428746207,132.3252882950621,112.56966807021371
