Density,Method,PDR,AoI,Delay,Energy
10,DQL-DCC,100.0,354.57848190462477,5.553720831854941,1.9778627335356065
10,AdaptDCC,96.31287098977741,219.12556573051629,6.1179281631752325,3.510073167276272
10,ReactDCC,97.45579034106649,194.91404179894835,7.102464087606706,3.5506324382548455
10,Fixed10Hz,72.94249508614483,150.8543912735686,17.26383278357126,6.332212606102402
10,Heuristic,99.59977538793581,252.60731266577307,6.916247882709122,2.8404358844524613
10,DecTree,100.0,255.9810114353806,7.043651625173888,2.6443841854114454
10,SAC,100.0,258.3110563980009,6.119499924833012,2.2794419244560014
10,TD3,100.0,292.7978661768965,5.424468629065794,2.399381312229599
10,PPO,100.0,277.7906494310955,5.91504601611276,2.3304388812258057
30,DQL-DCC,100.0,544.409102856252,9.177322697983074,2.9481026694797627
30,AdaptDCC,87.97444110151714,404.4941699016548,11.589858380335347,4.622173778984137
30,ReactDCC,87.76452644425005,398.03417936400075,10.954301629541922,4.481440046032547
30,Fixed10Hz,62.520480592725065,347.8585156253429,20.26134389560294,7.235380537977629
30,Heuristic,90.78790150768899,457.0099639813906,10.299852842856643,3.7496028864855386
30,DecTree,90.19919664482379,457.95129298768455,10.636801615394246,3.6697140849251246
30,SAC,92.61733599765321,475.54891572438237,10.123576907463118,3.2152370848181757
30,TD3,93.76487818784763,482.4222359727124,9.943426326409654,3.2996198983664446
30,PPO,91.83527981672283,481.8503295825131,10.088190121021107,3.4170247551196664
50,DQL-DCC,89.09645702659344,737.741862794707,13.027572076878142,4.08459856551519
50,AdaptDCC,80.46954075654389,609.5492209831414,15.603276832504612,5.525341928420523
50,ReactDCC,79.28077741533855,600.1962750072759,14.563432034280842,5.5897518536595845
50,Fixed10Hz,53.755507242331724,552.3307794092549,24.130190292464217,8.41977135088102
50,Heuristic,81.0949146263524,643.7553618684659,14.478008698882253,4.801760852520777
50,DecTree,82.58927820854419,663.6975769616074,14.554510671927984,4.550684896668582
50,SAC,85.23024337569007,689.256637386006,13.872894918927347,4.175165355706679
50,TD3,82.3972413081473,674.3371036898563,14.140027909303882,4.457669901090889
50,PPO,85.21918868346624,691.9930521199437,14.029626608759884,4.449944153712242
70,DQL-DCC,83.36978195922403,947.7848425504288,16.881134652882984,5.019130870202026
70,AdaptDCC,72.83650154827475,804.1778841812629,19.2093110829049,6.284477979910021
70,ReactDCC,72.69428493662376,802.6175654111531,18.529407669372706,6.616798389796758
70,Fixed10Hz,46.95731822496781,743.3156709610664,28.745048250362068,9.667426846873676
70,Heuristic,75.36247368635874,857.6032522818386,18.63040373270128,5.909131699487071
70,DecTree,73.494856376901,866.7455822036251,18.732009277193917,5.628479846483084
70,SAC,76.50806568755502,885.3411553161485,18.34576566825851,5.197307403275203
70,TD3,75.66498005792442,876.5173319112245,18.3197152821233,5.467165210960518
70,PPO,75.41362122734913,875.4375002912046,17.80724698679483,5.259313293775152
100,DQL-DCC,68.31162842770131,1229.825810293754,22.4915798825122,6.454797934253433
100,AdaptDCC,59.454024889901554,1094.8006515849736,24.626647471844002,8.041220472447366
100,ReactDCC,60.92661856683809,1108.1861634002428,24.994200006986905,7.995495585154442
100,Fixed10Hz,34.67177986834755,1040.5253334193424,35.53194312468575,11.02660897016282
100,Heuristic,60.81620785387149,1153.653467648955,24.934793757979797,7.190150282485081
100,DecTree,62.039486372396404,1137.2748087781893,24.64109337647535,7.127902617567213
100,SAC,65.38067143555304,1161.7514999196394,22.978426456576685,6.90963497040935
100,TD3,66.75848487954434,1187.8668996046404,24.6034593737548,6.67845126967949
100,PPO,63.74599507103161,1184.1644334205455,24.406925354957462,6.906599639834561
