Density,Fixed 10Hz,ReactDCC,AdaptDCC,TinyMLP,Q-Learning,SARSA,Actor-Critic,Vanilla DQN,PPO,DDPG,Double DQN,TD3,Decision Transformer,SAC,MAPPO,REMO-DQN
10.0,89.69812676631201,90.92850247624601,87.15201230060798,89.80931781760664,91.95509040370862,85.69417296848496,91.06492861557739,91.06556641864525,30.0,30.0,86.63820983450702,86.12914008057238,92.62957698303804,30.0,30.0,76.5403602494435
11.83673469387755,86.9537378446744,89.05266092027608,87.32827009652098,91.55191202974441,88.23783768440913,87.98625529747306,85.02738689264383,86.57002365980074,30.0,30.0,86.95043827122677,87.05507906419228,90.57242292263885,30.0,30.0,75.96528628503403
13.673469387755102,87.17566958193083,86.8136703766483,83.82088676276507,81.69136500492982,86.49700534900406,84.97179637688393,85.12473723406988,85.93192644930258,30.0,30.0,86.45973093346016,88.96765858419731,86.72724733491044,30.0,30.0,76.0509491516206
15.510204081632654,85.85113159402286,84.29726298627193,85.27194217617836,84.66461164265687,86.48157944623381,81.28567569387621,84.54539270183591,87.62778432978794,30.0,30.0,85.82252018104573,84.2190164662126,88.32942358332711,30.0,30.0,75.6046693219533
17.346938775510203,85.4050319816938,83.20089146241237,80.80541056304531,86.20228626787271,83.1970117113681,84.56976613171113,77.54170488459509,84.71301113891798,30.0,30.0,83.09336860120493,79.9333379995698,84.37867408878638,30.0,30.0,76.42776587132292
19.183673469387756,85.44146351426336,79.96269677321656,81.63891914075114,79.74981372927405,84.45759896572689,81.57363180635794,74.80268781854,82.7099279239958,30.0,30.0,84.37310534003626,79.79562724944913,84.00855999489002,30.0,30.0,76.4285211740137
21.02040816326531,80.2729311108681,76.38098495370772,82.21836702036695,78.09662355351118,84.66054156973345,78.23053405592489,75.31799401362782,78.08671728810899,30.0,30.0,77.46550789086436,75.94465827933782,78.3198329258784,30.0,30.0,75.76114736020024
22.857142857142858,81.93179965880286,73.24875135516582,79.77482242104627,77.2299021833912,77.25568864529956,79.06345060444097,69.27165682381701,78.35360373233178,30.0,30.0,73.90485573950966,74.8234064305766,77.07372630864215,30.0,30.0,75.45070962801691
24.693877551020407,78.13283344003723,72.17717174679103,76.36238076481622,73.61255556247067,74.9760318847849,75.70769848519635,68.05887080727652,74.98082059766706,30.0,30.0,73.16154767980792,76.00481340228619,75.39247017830894,30.0,30.0,74.89813428212108
26.53061224489796,73.44644005999335,71.13776793242276,72.86405278089715,72.1972717361652,76.6540317965272,70.78474291766216,68.79258397827462,73.23750680204216,30.0,30.0,70.91110413556888,71.03282587686654,74.88794460818048,30.0,30.0,75.23508953978418
28.367346938775512,78.56773943726823,67.71173289944451,73.47560691821937,70.23705381191793,71.77409464188544,68.39984269501738,61.409460683143564,72.63014093571091,30.0,30.0,69.36458436572075,73.75923808760504,73.52136992580861,30.0,30.0,74.54910803046161
30.20408163265306,78.04639048192361,66.80696607012237,70.08153970607746,67.74911093147807,70.1744590988283,70.16207441420651,63.561362511436236,68.79786009619774,30.0,30.0,65.48631588053257,69.54512584325761,72.39005241398269,30.0,30.0,75.14059710730294
32.04081632653062,73.23963033587499,64.89097885342939,70.1909501410521,69.552933900762,67.1157128848818,67.36667354053338,57.11659467647832,71.15893050674778,30.0,30.0,66.96952166886193,68.01195278052717,74.02806187811512,30.0,30.0,75.73766872216703
33.87755102040816,70.6811270902578,63.51342733073797,64.67385805738047,66.10864526498383,68.88413029917987,64.96126346583989,52.861435353407764,66.03374104348728,30.0,30.0,64.09318747706375,65.43741438514219,69.86456274561202,30.0,30.0,75.49724900429233
35.714285714285715,68.4588668227382,62.24704828804461,68.03467587359518,63.77901406462764,68.01716455746325,60.97660062646065,53.626926164029605,65.77179948002427,30.0,30.0,58.77388286627321,65.69325294516527,65.73257743327723,30.0,30.0,76.64734777794165
