address_name,category_group_code,category_group_name,category_name,distance,id,phone,place_name,place_url,road_address_name,x,y
충북 청주시 서원구 사창동 302-5,FD6,음식점,"음식점 > 일식 > 돈까스,우동",204,929052755,043-264-5272,에덴돈까스,http://place.map.kakao.com/929052755,충북 청주시 서원구 창신로 43,127.46446668260009,36.63474287303737
충북 청주시 서원구 사창동 492,FD6,음식점,"음식점 > 일식 > 돈까스,우동 > 카츠와이찌",474,1537998509,0506-209-4910,카츠와이찌 청주점,http://place.map.kakao.com/1537998509,충북 청주시 서원구 내수동로114번길 39,127.460584974784,36.6321762066483
충북 청주시 상당구 서문동 166-3,FD6,음식점,"음식점 > 일식 > 돈까스,우동",404,7945419,043-256-3334,서문우동 본점,http://place.map.kakao.com/7945419,충북 청주시 상당구 무심동로392번길 8,127.48515838012997,36.63544438938414
충북 청주시 상당구 서문동 162-6,FD6,음식점,"음식점 > 일식 > 돈까스,우동",394,1545638849,043-238-9488,짱이네 수제매콤돈까쓰&칡냉면 서문점,http://place.map.kakao.com/1545638849,충북 청주시 상당구 무심동로392번길 10,127.48526030738081,36.635472810349356
충북 청주시 상당구 북문로1가 50-4,FD6,음식점,"음식점 > 일식 > 돈까스,우동",295,12729828,043-224-1024,짱이네 본점,http://place.map.kakao.com/12729828,충북 청주시 상당구 상당로59번길 12-1,127.489742863225,36.6337071800014
충북 청주시 상당구 북문로1가 25-1,FD6,음식점,"음식점 > 일식 > 돈까스,우동 > 미소야",195,27446372,043-224-1999,미소야 청주북문로점,http://place.map.kakao.com/27446372,충북 청주시 상당구 상당로69번길 12-6,127.489972410187,36.6346434096993
충북 청주시 상당구 북문로1가 80,FD6,음식점,"음식점 > 일식 > 돈까스,우동 > 동백카츠",100,717249210,0507-1389-5671,동백카츠 성안점,http://place.map.kakao.com/717249210,충북 청주시 상당구 상당로81번길 9-2,127.489700372504,36.6354735661971
충북 청주시 상당구 남문로1가 84-4,,,"가정,생활 > 식품판매",129,734666662,043-222-0575,김추일수제떡갈비&돈까스,http://place.map.kakao.com/734666662,충북 청주시 상당구 성안로 73-1,127.489514978207,36.63020452802
충북 청주시 상당구 석교동 31-6,FD6,음식점,"음식점 > 일식 > 돈까스,우동",478,26983425,043-252-2225,석교우동,http://place.map.kakao.com/26983425,충북 청주시 상당구 대성로 24,127.493495122716,36.627383794859
충북 청주시 상당구 용담동 383,FD6,음식점,"음식점 > 일식 > 돈까스,우동",161,1485691302,043-288-1535,우동의신 본점,http://place.map.kakao.com/1485691302,충북 청주시 상당구 산성로104번길 21,127.50576062797417,36.631643359051935
충북 청주시 상당구 용담동 409,FD6,음식점,"음식점 > 일식 > 돈까스,우동 > 미소야",466,1359532009,043-287-3369,미소야 청주용담점,http://place.map.kakao.com/1359532009,충북 청주시 상당구 산성로116번길 30,127.50621439805433,36.63230195877393
충북 청주시 상당구 용담동 411,FD6,음식점,"음식점 > 일식 > 돈까스,우동",471,12406081,,정우동,http://place.map.kakao.com/12406081,충북 청주시 상당구 산성로116번길 28,127.505830091396,36.6323495485719
충북 청주시 서원구 사창동 217-15,FD6,음식점,"음식점 > 일식 > 돈까스,우동 > 은화수식당",486,613404473,043-268-7266,은화수식당 충북대점,http://place.map.kakao.com/613404473,충북 청주시 서원구 내수동로102번길 40,127.45683725398275,36.632566407208735
충북 청주시 서원구 사창동 151-10,FD6,음식점,"음식점 > 일식 > 돈까스,우동",235,22710214,043-266-4277,짱이네 사창점,http://place.map.kakao.com/22710214,충북 청주시 서원구 사직대로 98,127.45829884521795,36.634498222661264
충북 청주시 서원구 사창동 430,FD6,음식점,"음식점 > 일식 > 돈까스,우동",322,113795664,0503-7151-4153,행복한우동가게 충북대점,http://place.map.kakao.com/113795664,충북 청주시 서원구 내수동로114번길 8,127.459872661623,36.6334765850655
충북 청주시 서원구 사창동 257-3,FD6,음식점,"음식점 > 일식 > 돈까스,우동 > 용우동",469,11701555,043-262-8217,용우동 청주사창점,http://place.map.kakao.com/11701555,충북 청주시 서원구 사직대로 120,127.460705134692,36.6347061140174
충북 청주시 서원구 사창동 446,FD6,음식점,"음식점 > 일식 > 돈까스,우동",411,2010098337,,한신우동 충북대점,http://place.map.kakao.com/2010098337,충북 청주시 서원구 1순환로672번길 41,127.45791482280525,36.63290019413837
충북 청주시 서원구 사창동 452,FD6,음식점,"음식점 > 일식 > 돈까스,우동",447,86866294,043-231-1618,가로수 돈까스,http://place.map.kakao.com/86866294,충북 청주시 서원구 1순환로672번길 49,127.457670589023,36.6326280902504
