Model,Step,MAE
H-ST-MBAN,0,244.1430349907978
H-ST-MBAN,1,72.6704243724598
H-ST-MBAN,2,51.37660317408649
H-ST-MBAN,3,48.93845474517363
H-ST-MBAN,4,47.105305145014825
H-ST-MBAN,5,45.977937341038064
H-ST-MBAN,6,44.86928326138774
H-ST-MBAN,7,44.49342594530431
H-ST-MBAN,8,44.11502798409103
H-ST-MBAN,9,44.24253233357724
H-ST-MBAN,10,43.57560826905626
H-ST-MBAN,11,43.503011789543976
H-ST-MBAN,12,43.940323721195135
H-ST-MBAN,13,43.345880659124894
H-ST-MBAN,14,43.31067590676204
H-ST-MBAN,15,43.17631170558971
H-ST-MBAN,16,43.04868349160297
H-ST-MBAN,17,43.05477257259528
H-ST-MBAN,18,42.80421360969812
H-ST-MBAN,19,43.073791115425536
H-ST-MBAN,20,43.01761801526035
H-ST-MBAN,21,42.82120696045602
H-ST-MBAN,22,42.57861876054421
H-ST-MBAN,23,42.54612122884768
H-ST-MBAN,24,42.55467564275741
H-ST-MBAN,25,42.50565143640883
H-ST-MBAN,26,42.28665745180018
H-ST-MBAN,27,42.2150668908243
H-ST-MBAN,28,42.33313312483225
H-ST-MBAN,29,41.95351142129547
H-ST-MBAN,30,42.50523161513318
H-ST-MBAN,31,42.37974309673832
H-ST-MBAN,32,41.80941299809405
H-ST-MBAN,33,41.80964232964712
H-ST-MBAN,34,41.934142328448914
H-ST-MBAN,35,41.76992481060364
H-ST-MBAN,36,42.05272131955184
H-ST-MBAN,37,41.493761642564095
H-ST-MBAN,38,41.34904741658892
H-ST-MBAN,39,41.52487065370901
H-ST-MBAN,40,41.20587827669282
H-ST-MBAN,41,41.26062378981238
H-ST-MBAN,42,41.09998176730528
H-ST-MBAN,43,41.3830340681795
H-ST-MBAN,44,41.11920717533422
H-ST-MBAN,45,41.395573314404345
H-ST-MBAN,46,41.93694188583178
H-ST-MBAN,47,41.26975843476809
H-ST-MBAN,48,40.99413483367309
H-ST-MBAN,49,40.78860371208079
H-ST-MBAN,50,40.878183232790576
H-ST-MBAN,51,40.62649041795008
H-ST-MBAN,52,40.48954338482688
H-ST-MBAN,53,41.90646562707689
H-ST-MBAN,54,40.32164350668439
H-ST-MBAN,55,40.37015755205005
