veh_id,cur_rsu,next_rsu,r_cov,dirct,d_rsu,d_e_n,n_t_0,n_t_1,n_t_2,n_t_3,d_l_c,d_l_n,v_c_a,v_n_a,tls_c,tls_n,tlt_c,tlt_n,n_cur,n_nxt,v_ahead_avg,dist_leader,v_leader,est_travel_time,route_lane_changes,q_len_cur,q_len_nxt,n_ahead_cur,n_ahead_nxt,n_merge_nxt,occ_cur,occ_nxt,dwell_cur,dwell_nxt
F15_1.3,N36,N29,800.0,-1,2400.0,1320.753959176619,18,19,1,7,520.7487718937814,2920.753959176619,37.3627472363525,0.0,-2,1,3.0,3.0,47,4,10.125531800857289,10.782304758089197,9.174938635655268,227.29010200982253,0,0,0,2,2,27,0.01050773369199731,0.022066240753194355,56.0,165.0
F15_2.5,N36,N29,800.0,-1,2400.0,1082.7898022217726,24,16,3,16,282.76141103215946,2682.7898022217723,36.63891707751944,52.36363636363636,-2,-1,30.0,30.0,73,26,10.28096886402561,69.2888073721706,11.375761543296017,233.29876803757557,0,0,0,11,8,35,0.035726294552790853,0.028370880968392735,25.0,138.0
F15_2.7,N36,N29,800.0,1,2400.0,1944.2073729869862,21,16,1,8,455.79262701301366,3544.2073729869862,36.18594473770783,0.0,1,1,34.0,34.0,58,20,7.429847986189437,191.19871988280272,12.142003738854655,146.62113715337432,0,6,0,4,2,25,0.04203093476798924,0.024167787491593817,112.0,156.0
F15_0.1,N36,N29,800.0,1,2400.0,2395.4682057325163,19,19,1,7,4.531794267483747,3995.4682057325163,37.3627472363525,0.0,-1,-1,41.0,41.0,49,4,10.625645370616148,17.580883809618797,11.768447779209927,109.05124362469185,0,0,0,18,3,27,0.11348352387357095,0.023117014122394086,155.0,163.0
F15_4.5,N36,N37,800.0,1,2400.0,1753.247910206177,33,33,0,35,646.7520897938231,3353.247910206177,36.192075452817456,35.747279668431005,1,1,33.0,33.0,57,80,2.1407167535097806,11.299502721292356,10.34056424121151,142.3516741859705,0,5,0,12,11,68,0.13029589778076667,0.02521856086079355,95.0,205.0
F15_18.2,N36,N37,800.0,-1,2400.0,1487.5869743495787,32,32,0,37,687.4795104961869,3087.5869743495787,36.60752586321279,35.747279668431005,-2,1,22.0,22.0,56,85,10.776483820158559,33.116448313087346,8.950121298541717,215.3241099120564,0,0,0,12,5,69,0.0336247478143914,0.030472427706792204,79.0,189.0
F15_18.3,N36,N37,800.0,1,2400.0,1609.265499773528,36,36,0,40,790.7345002264718,3209.265499773528,36.63891707751944,35.40072755553447,1,1,5.0,5.0,61,87,9.86597131024231,39.047535760059446,12.055546295077628,0.9152672064458113,0,0,0,0,0,76,0.328759765250512,0.0,75.0,186.0
F15_18.4,N36,N37,800.0,1,2400.0,2394.7908647693584,29,29,0,36,5.209135230641323,3994.7908647693584,37.20206809118595,35.796928964405964,-1,-1,19.0,19.0,55,57,6.3652995501799925,13.768885726395354,11.925735402865305,138.06752588899857,0,10,2,19,16,65,0.11348352387357095,0.025218560860793545,185.99999999999994,144.0
F15_6.4,N36,N37,800.0,1,2400.0,1641.682527986722,29,29,0,36,758.3174720132778,3241.682527986722,37.045857848302454,35.796928964405964,-1,-1,16.0,16.0,55,59,0.0,0.0010240041708584613,0.0,143.2672282954107,0,12,2,4,4,65,0.11768661735036988,0.025218560860793545,104.0,219.0
F15_19.0,N36,N37,800.0,-1,2400.0,1158.0508594243836,37,37,0,43,358.0189107815654,2758.050859424384,36.63891707751944,35.199943520689025,-2,-1,33.0,33.0,71,91,11.73967404013182,46.640182007582325,9.747134663134203,224.1017485403,0,2,2,8,5,80,0.037827841291190316,0.04098016139878951,43.0,207.0
